LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 27294.0, 2693900, 157.0, 256.0, 3200, 511.0, 27480.0, 862048, -157287.0, -1.0, 3145740, -1280.0, -1.0, 25600, 27704.0, 70806.0, 862048,
1, 257.0, 27294.0, 2693900, 157.0, 256.0, 3200, 511.0, 27480.0, 862048, -157287.0, -1.0, 3145740, -1280.0, -1.0, 25600, 27704.0, 70806.0, 862048,
2, 257.0, 27294.0, 2693900, 157.0, 256.0, 3200, 511.0, 27480.0, 862048, -157287.0, -1.0, 3145740, -1280.0, -1.0, 25600, 27704.0, 70806.0, 862048,
3, 257.0, 480083.0, 10153600, 1.0, 473712.0, 51200, 511.0, 480343.0, 1421504, -157287.0, 471863.0, 12582960, -20480.0, -1.0, 409600, 324440.0, 499213.0, 1421504,
4, 257.0, 480083.0, 10153600, 1.0, 473712.0, 51200, 511.0, 480343.0, 1421504, -157287.0, 471863.0, 12582960, -20480.0, -1.0, 409600, 324440.0, 499213.0, 1421504,
5, 257.0, 480083.0, 10153600, 1.0, 473712.0, 51200, 511.0, 480343.0, 1421504, -157287.0, 471863.0, 12582960, -20480.0, -1.0, 409600, 324440.0, 499213.0, 1421504,
6, 257.0, 22252.0, 197892, 248.0, 256.0, 144, 511.0, 22513.0, 351808, -157287.0, -1.0, 3145740, -116.0, -1.0, 2320, 22753.0, 40343.0, 351808,
7, 257.0, 5635.0, 753984, 113.0, 256.0, 4608, 511.0, 5777.0, 167552, -67021.0, -1.0, 1340420, -1844.0, -1.0, 36880, 6001.0, 14378.0, 167552,
8, 257.0, 3413.0, 339840, 1.0, 2202.0, 18432, 511.0, 3699.0, 151040, -30208.0, -1.0, 604160, -3687.0, -1.0, 73740, 3891.0, 11442.0, 151040,
9, 257.0, 2547.0, 133632, 1.0, 2252.0, 73728, 511.0, 2865.0, 89088, -8909.0, -1.0, 178180, -7373.0, -1.0, 147460, 2993.0, 7447.0, 89088,
10, 257.0, 3188.0, 78732, 230.0, 256.0, 1728, 511.0, 3489.0, 186624, -37325.0, -1.0, 746500, -346.0, -1.0, 6920, 3681.0, 13012.0, 186624,
11, 257.0, 9963.0, 1557504, 1.0, 7196.0, 36864, 511.0, 10217.0, 519168, -103834.0, -1.0, 2076680, -7373.0, -1.0, 147460, 10409.0, 36367.0, 519168,
12, 257.0, 6572.0, 720000, 1.0, 5820.0, 147456, 511.0, 6826.0, 400000, -40000.0, -1.0, 800000, -14746.0, -1.0, 294920, 6954.0, 26953.0, 400000,
13, 257.0, 4167.0, 165888, 1.0, 3896.0, 294912, 511.0, 4549.0, 184320, -9216.0, -1.0, 184320, -14746.0, -1.0, 294920, 4549.0, 13764.0, 184320,
14, 257.0, 13983.0, 115200, 1.0, 13703.0, 1179648, 511.0, 14237.0, 115200, -2880.0, -1.0, 57600, -58983.0, -1.0, 1179660, 14237.0, 19996.0, 115200,
15, 257.0, 49566.0, 1330668, 230.0, 256.0, 1728, 511.0, 69516.0, 3154176, -157287.0, -1.0, 3145740, -346.0, -1.0, 6920, 16926.0, 122559.0, 3154176,
16, 257.0, 314638.0, 6969600, 1.0, 158053.0, 73728, 511.0, 314956.0, 4646400, -157287.0, 314575.0, 9437220, -7373.0, -1.0, 147460, 8766.0, 337689.0, 4646421,
17, 257.0, 157414.0, 3359232, 1.0, 14984.0, 294912, 511.0, 157796.0, 3732480, -157287.0, 157287.0, 6291480, -14746.0, -1.0, 294920, 5500.0, 187133.0, 3732489,
18, 257.0, 25701.0, 3115008, 1.0, 24770.0, 1179648, 511.0, 25955.0, 3115008, -77876.0, -1.0, 1557520, -58983.0, -1.0, 1179660, 9305.0, 129276.0, 3115008,
19, 257.0, 32505.0, 1327104, 1.0, 32106.0, 2359296, 511.0, 32759.0, 1327104, -33178.0, -1.0, 663560, -117965.0, -1.0, 2359300, 26176.0, 46685.0, 1327104,
20, 257.0, 28221.0, 230400, 1.0, 27941.0, 2359296, 511.0, 28475.0, 230400, -5760.0, -1.0, 115200, -117965.0, -1.0, 2359300, 28475.0, 39994.0, 230400,
