LayerID,TotalCycles,StallCycles,Stall_IFMAP,Stall_Filter,Stall_OFMAP,Stall_DRAM_attrib,Stall_SRAM_attrib
76,3901.0,0.0,0.0,0.0,0.0,0.0,0.0
77,3901.0,0.0,0.0,0.0,0.0,0.0,0.0
78,1606.0,0.0,0.0,0.0,0.0,0.0,0.0
79,3099.0,0.0,0.0,0.0,0.0,0.0,0.0
80,3099.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1981.0,0.0,0.0,0.0,0.0,0.0,0.0
82,3847.0,0.0,0.0,0.0,0.0,0.0,0.0
83,7927.0,0.0,0.0,0.0,0.0,0.0,0.0
84,3847.0,0.0,0.0,0.0,0.0,0.0,0.0
85,3847.0,0.0,0.0,0.0,0.0,0.0,0.0
86,6639.0,0.0,0.0,0.0,0.0,0.0,0.0
87,28475.0,0.0,0.0,0.0,0.0,0.0,0.0
88,13039.0,0.0,0.0,0.0,0.0,0.0,0.0
89,26559.0,0.0,0.0,0.0,0.0,0.0,0.0
90,13039.0,0.0,0.0,0.0,0.0,0.0,0.0
91,13309.0,0.0,0.0,0.0,0.0,0.0,0.0
92,3901.0,0.0,0.0,0.0,0.0,0.0,0.0
93,3901.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1606.0,0.0,0.0,0.0,0.0,0.0,0.0
95,3099.0,0.0,0.0,0.0,0.0,0.0,0.0
96,3099.0,0.0,0.0,0.0,0.0,0.0,0.0
97,1981.0,0.0,0.0,0.0,0.0,0.0,0.0
98,3847.0,0.0,0.0,0.0,0.0,0.0,0.0
99,7927.0,0.0,0.0,0.0,0.0,0.0,0.0
100,3847.0,0.0,0.0,0.0,0.0,0.0,0.0
101,3847.0,0.0,0.0,0.0,0.0,0.0,0.0
102,6639.0,0.0,0.0,0.0,0.0,0.0,0.0
103,28475.0,0.0,0.0,0.0,0.0,0.0,0.0
104,13039.0,0.0,0.0,0.0,0.0,0.0,0.0
105,26559.0,0.0,0.0,0.0,0.0,0.0,0.0
106,13039.0,0.0,0.0,0.0,0.0,0.0,0.0
